question_number,issue,group,n,pct_experienced_personally,pct_experienced_or_witnessed
46,Language or content that made me or others feel unwelcome or excluded,Tenure (combined): 1-2 years,15,13.3,26.7
46,Language or content that made me or others feel unwelcome or excluded,Participation level: Occasional participation,144,19.4,47.2
46,Language or content that made me or others feel unwelcome or excluded,Participation level: Observational only,97,23.7,49.5
46,Language or content that made me or others feel unwelcome or excluded,Participation level: Moderately active participation,76,28.9,53.9
46,Language or content that made me or others feel unwelcome or excluded,Participation level: Very active participation,44,20.5,47.7
46,Language or content that made me or others feel unwelcome or excluded,Participation level: Inactive,35,28.6,54.3
46,Language or content that made me or others feel unwelcome or excluded,Participation level: Do not participate / Not applicable,35,17.1,45.7
46,Language or content that made me or others feel unwelcome or excluded,Participation change: No change / About the same,199,15.6,37.7
46,Language or content that made me or others feel unwelcome or excluded,Participation change: Decreased,94,27.7,61.7
46,Language or content that made me or others feel unwelcome or excluded,Participation change: Significantly decreased,73,37.0,78.1
46,Language or content that made me or others feel unwelcome or excluded,Participation change: Increased,48,20.8,31.2
46,Language or content that made me or others feel unwelcome or excluded,Participation change: Significantly increased,17,23.5,47.1
46,Language or content that made me or others feel unwelcome or excluded,"Event relationship: Never attended, not interested",120,19.2,42.5
46,Language or content that made me or others feel unwelcome or excluded,Event relationship: Stopped attending,94,24.5,62.8
46,Language or content that made me or others feel unwelcome or excluded,"Event relationship: Attend, multiple times a year",91,25.3,48.4
46,Language or content that made me or others feel unwelcome or excluded,"Event relationship: Attend, annually or occasionally",90,23.3,42.2
46,Language or content that made me or others feel unwelcome or excluded,"Event relationship: Never attended, would like to",28,21.4,57.1
46,Language or content that made me or others feel unwelcome or excluded,Contribution type: No contribution work,197,18.3,46.7
46,Language or content that made me or others feel unwelcome or excluded,Contribution type: Community and code work,112,29.5,54.5
46,Language or content that made me or others feel unwelcome or excluded,Contribution type: Community work only,87,26.4,51.7
46,Language or content that made me or others feel unwelcome or excluded,Contribution type: Code / project work only,35,17.1,42.9
46,Language or content that made me or others feel unwelcome or excluded,Contributor identity: Agree,105,22.9,49.5
46,Language or content that made me or others feel unwelcome or excluded,Contributor identity: Neutral,90,23.3,54.4
46,Language or content that made me or others feel unwelcome or excluded,Contributor identity: Disagree,81,22.2,43.2
46,Language or content that made me or others feel unwelcome or excluded,Contributor identity: Strongly disagree,79,17.7,45.6
46,Language or content that made me or others feel unwelcome or excluded,Contributor identity: Strongly agree,76,27.6,53.9
46,Language or content that made me or others feel unwelcome or excluded,Community membership: Agree,166,23.5,49.4
46,Language or content that made me or others feel unwelcome or excluded,Community membership: Strongly agree,142,23.2,50.0
46,Language or content that made me or others feel unwelcome or excluded,Community membership: Neutral,70,24.3,45.7
46,Language or content that made me or others feel unwelcome or excluded,Community membership: Disagree,36,22.2,50.0
46,Language or content that made me or others feel unwelcome or excluded,Community membership: Strongly disagree,17,5.9,58.8
46,Language or content that made me or others feel unwelcome or excluded,Uses AI at work: Uses AI,308,22.1,48.7
46,Language or content that made me or others feel unwelcome or excluded,Uses AI at work: Does not use AI,123,24.4,51.2
46,Language or content that made me or others feel unwelcome or excluded,Contributes to open source elsewhere: Yes,228,25.4,54.4
46,Language or content that made me or others feel unwelcome or excluded,Contributes to open source elsewhere: No,203,19.7,43.8
46,Language or content that made me or others feel unwelcome or excluded,Volunteers outside WordPress and open source: Yes,251,23.9,52.2
46,Language or content that made me or others feel unwelcome or excluded,Volunteers outside WordPress and open source: No,180,21.1,45.6
46,Language or content that made me or others feel unwelcome or excluded,Income depends on WordPress: Yes,205,25.4,56.6
46,Language or content that made me or others feel unwelcome or excluded,Income depends on WordPress: No,138,14.5,37.7
46,Language or content that made me or others feel unwelcome or excluded,Income depends on WordPress: Partially,82,26.8,50.0
46,Problems with project leadership or governance,All respondents,431,37.4,73.3
46,Problems with project leadership or governance,Gender: Male,300,34.7,73.7
46,Problems with project leadership or governance,Gender: Female,80,41.2,73.8
46,Problems with project leadership or governance,Gender: Prefer not to answer,35,48.6,68.6
46,Problems with project leadership or governance,Gender: Non-binary,15,46.7,73.3
46,Problems with project leadership or governance,Age: 35-44,161,39.8,77.0
46,Problems with project leadership or governance,Age: 45-54,135,35.6,73.3
46,Problems with project leadership or governance,Age: 55-64,65,36.9,73.8
46,Problems with project leadership or governance,Age: 25-34,39,38.5,74.4
46,Problems with project leadership or governance,Age: 65-74,20,20.0,45.0
46,Problems with project leadership or governance,Location: Non-US,246,33.7,69.1
46,Problems with project leadership or governance,Location: US,174,43.1,79.3
46,Problems with project leadership or governance,Work role: Employee only,150,33.3,72.0
46,Problems with project leadership or governance,Work role: Owner/Exec,120,43.3,78.3
46,Problems with project leadership or governance,Work role: Freelancer only,79,41.8,70.9
46,Problems with project leadership or governance,Work role: Employee+Freelance,40,30.0,77.5
46,Problems with project leadership or governance,Work role: Other/Non-working,22,22.7,50.0
46,Problems with project leadership or governance,Work role: Employee+Owner,20,45.0,80.0
46,Problems with project leadership or governance,Pay status: Unpaid,248,37.1,71.8
46,Problems with project leadership or governance,Pay status: Paid directly,116,37.9,74.1
46,Problems with project leadership or governance,Pay status: Paid indirectly,67,37.3,77.6
46,Problems with project leadership or governance,Tenure (combined): 15+ years,135,43.7,78.5
46,Problems with project leadership or governance,Tenure (combined): 10-15 years,122,41.0,77.9
46,Problems with project leadership or governance,Tenure (combined): 6-10 years,56,37.5,75.0
46,Problems with project leadership or governance,Tenure (combined): 3-6 years,29,37.9,75.9
46,Problems with project leadership or governance,Tenure (combined): 1-2 years,15,33.3,53.3
46,Problems with project leadership or governance,Participation level: Occasional participation,144,41.0,76.4
46,Problems with project leadership or governance,Participation level: Observational only,97,37.1,75.3
46,Problems with project leadership or governance,Participation level: Moderately active participation,76,50.0,76.3
46,Problems with project leadership or governance,Participation level: Very active participation,44,25.0,72.7
46,Problems with project leadership or governance,Participation level: Inactive,35,31.4,71.4
46,Problems with project leadership or governance,Participation level: Do not participate / Not applicable,35,17.1,51.4
46,Problems with project leadership or governance,Participation change: No change / About the same,199,25.1,60.3
46,Problems with project leadership or governance,Participation change: Decreased,94,46.8,87.2
46,Problems with project leadership or governance,Participation change: Significantly decreased,73,61.6,94.5
46,Problems with project leadership or governance,Participation change: Increased,48,29.2,68.8
46,Problems with project leadership or governance,Participation change: Significantly increased,17,47.1,70.6
46,Problems with project leadership or governance,"Event relationship: Never attended, not interested",120,34.2,62.5
46,Problems with project leadership or governance,Event relationship: Stopped attending,94,40.4,87.2
46,Problems with project leadership or governance,"Event relationship: Attend, multiple times a year",91,45.1,76.9
46,Problems with project leadership or governance,"Event relationship: Attend, annually or occasionally",90,32.2,71.1
46,Problems with project leadership or governance,"Event relationship: Never attended, would like to",28,25.0,64.3
46,Problems with project leadership or governance,Contribution type: No contribution work,197,31.5,68.5
46,Problems with project leadership or governance,Contribution type: Community and code work,112,44.6,79.5
46,Problems with project leadership or governance,Contribution type: Community work only,87,41.4,75.9
46,Problems with project leadership or governance,Contribution type: Code / project work only,35,37.1,74.3
46,Problems with project leadership or governance,Contributor identity: Agree,105,42.9,78.1
46,Problems with project leadership or governance,Contributor identity: Neutral,90,33.3,66.7
46,Problems with project leadership or governance,Contributor identity: Disagree,81,35.8,76.5
46,Problems with project leadership or governance,Contributor identity: Strongly disagree,79,30.4,67.1
46,Problems with project leadership or governance,Contributor identity: Strongly agree,76,43.4,77.6
46,Problems with project leadership or governance,Community membership: Agree,166,39.2,72.3
46,Problems with project leadership or governance,Community membership: Strongly agree,142,42.3,80.3
46,Problems with project leadership or governance,Community membership: Neutral,70,32.9,68.6
46,Problems with project leadership or governance,Community membership: Disagree,36,25.0,63.9
46,Problems with project leadership or governance,Community membership: Strongly disagree,17,23.5,64.7
46,Problems with project leadership or governance,Uses AI at work: Uses AI,308,36.0,74.0
46,Problems with project leadership or governance,Uses AI at work: Does not use AI,123,40.7,71.5
46,Problems with project leadership or governance,Contributes to open source elsewhere: Yes,228,42.5,75.9
46,Problems with project leadership or governance,Contributes to open source elsewhere: No,203,31.5,70.4
46,Problems with project leadership or governance,Volunteers outside WordPress and open source: Yes,251,43.0,74.5
46,Problems with project leadership or governance,Volunteers outside WordPress and open source: No,180,29.4,71.7
46,Problems with project leadership or governance,Income depends on WordPress: Yes,205,40.5,82.0
46,Problems with project leadership or governance,Income depends on WordPress: No,138,27.5,58.7
46,Problems with project leadership or governance,Income depends on WordPress: Partially,82,42.7,75.6
