question_number,issue,group,n,pct_experienced_personally,pct_experienced_or_witnessed
46,Dismissive or condescending responses to contributions or questions,Work role: Owner/Exec,120,35.8,65.8
46,Dismissive or condescending responses to contributions or questions,Work role: Freelancer only,79,35.4,70.9
46,Dismissive or condescending responses to contributions or questions,Work role: Employee+Freelance,40,25.0,65.0
46,Dismissive or condescending responses to contributions or questions,Work role: Other/Non-working,22,45.5,72.7
46,Dismissive or condescending responses to contributions or questions,Work role: Employee+Owner,20,20.0,75.0
46,Dismissive or condescending responses to contributions or questions,Pay status: Unpaid,248,30.6,63.7
46,Dismissive or condescending responses to contributions or questions,Pay status: Paid directly,116,31.0,71.6
46,Dismissive or condescending responses to contributions or questions,Pay status: Paid indirectly,67,37.3,73.1
46,Dismissive or condescending responses to contributions or questions,Tenure (combined): 15+ years,135,35.6,71.9
46,Dismissive or condescending responses to contributions or questions,Tenure (combined): 10-15 years,122,32.8,73.8
46,Dismissive or condescending responses to contributions or questions,Tenure (combined): 6-10 years,56,35.7,62.5
46,Dismissive or condescending responses to contributions or questions,Tenure (combined): 3-6 years,29,31.0,55.2
46,Dismissive or condescending responses to contributions or questions,Tenure (combined): 1-2 years,15,26.7,66.7
46,Dismissive or condescending responses to contributions or questions,Participation level: Occasional participation,144,34.7,68.8
46,Dismissive or condescending responses to contributions or questions,Participation level: Observational only,97,27.8,63.9
46,Dismissive or condescending responses to contributions or questions,Participation level: Moderately active participation,76,39.5,75.0
46,Dismissive or condescending responses to contributions or questions,Participation level: Very active participation,44,29.5,72.7
46,Dismissive or condescending responses to contributions or questions,Participation level: Inactive,35,31.4,60.0
46,Dismissive or condescending responses to contributions or questions,Participation level: Do not participate / Not applicable,35,17.1,54.3
46,Dismissive or condescending responses to contributions or questions,Participation change: No change / About the same,199,23.1,54.8
46,Dismissive or condescending responses to contributions or questions,Participation change: Decreased,94,37.2,83.0
46,Dismissive or condescending responses to contributions or questions,Participation change: Significantly decreased,73,47.9,84.9
46,Dismissive or condescending responses to contributions or questions,Participation change: Increased,48,39.6,68.8
46,Dismissive or condescending responses to contributions or questions,Participation change: Significantly increased,17,11.8,47.1
46,Dismissive or condescending responses to contributions or questions,"Event relationship: Never attended, not interested",120,22.5,55.8
46,Dismissive or condescending responses to contributions or questions,Event relationship: Stopped attending,94,44.7,90.4
46,Dismissive or condescending responses to contributions or questions,"Event relationship: Attend, multiple times a year",91,34.1,68.1
46,Dismissive or condescending responses to contributions or questions,"Event relationship: Attend, annually or occasionally",90,34.4,62.2
46,Dismissive or condescending responses to contributions or questions,"Event relationship: Never attended, would like to",28,10.7,53.6
46,Dismissive or condescending responses to contributions or questions,Contribution type: No contribution work,197,25.9,60.4
46,Dismissive or condescending responses to contributions or questions,Contribution type: Community and code work,112,36.6,74.1
46,Dismissive or condescending responses to contributions or questions,Contribution type: Community work only,87,35.6,74.7
46,Dismissive or condescending responses to contributions or questions,Contribution type: Code / project work only,35,40.0,65.7
46,Dismissive or condescending responses to contributions or questions,Contributor identity: Agree,105,32.4,72.4
46,Dismissive or condescending responses to contributions or questions,Contributor identity: Neutral,90,35.6,63.3
46,Dismissive or condescending responses to contributions or questions,Contributor identity: Disagree,81,30.9,67.9
46,Dismissive or condescending responses to contributions or questions,Contributor identity: Strongly disagree,79,21.5,57.0
46,Dismissive or condescending responses to contributions or questions,Contributor identity: Strongly agree,76,38.2,75.0
46,Dismissive or condescending responses to contributions or questions,Community membership: Agree,166,32.5,62.7
46,Dismissive or condescending responses to contributions or questions,Community membership: Strongly agree,142,34.5,73.9
46,Dismissive or condescending responses to contributions or questions,Community membership: Neutral,70,31.4,70.0
46,Dismissive or condescending responses to contributions or questions,Community membership: Disagree,36,22.2,58.3
46,Dismissive or condescending responses to contributions or questions,Community membership: Strongly disagree,17,23.5,64.7
46,Dismissive or condescending responses to contributions or questions,Uses AI at work: Uses AI,308,33.8,69.2
46,Dismissive or condescending responses to contributions or questions,Uses AI at work: Does not use AI,123,26.8,62.6
46,Dismissive or condescending responses to contributions or questions,Contributes to open source elsewhere: Yes,228,31.6,70.2
46,Dismissive or condescending responses to contributions or questions,Contributes to open source elsewhere: No,203,32.0,64.0
46,Dismissive or condescending responses to contributions or questions,Volunteers outside WordPress and open source: Yes,251,33.1,71.3
46,Dismissive or condescending responses to contributions or questions,Volunteers outside WordPress and open source: No,180,30.0,61.7
46,Dismissive or condescending responses to contributions or questions,Income depends on WordPress: Yes,205,34.6,74.6
46,Dismissive or condescending responses to contributions or questions,Income depends on WordPress: No,138,24.6,54.3
46,Dismissive or condescending responses to contributions or questions,Income depends on WordPress: Partially,82,32.9,69.5
46,Name-calling or personal attacks,All respondents,431,13.5,50.6
46,Name-calling or personal attacks,Gender: Male,300,13.3,51.0
46,Name-calling or personal attacks,Gender: Female,80,17.5,50.0
46,Name-calling or personal attacks,Gender: Prefer not to answer,35,8.6,45.7
46,Name-calling or personal attacks,Gender: Non-binary,15,6.7,53.3
46,Name-calling or personal attacks,Age: 35-44,161,12.4,54.0
46,Name-calling or personal attacks,Age: 45-54,135,14.1,50.4
46,Name-calling or personal attacks,Age: 55-64,65,12.3,47.7
46,Name-calling or personal attacks,Age: 25-34,39,17.9,53.8
46,Name-calling or personal attacks,Age: 65-74,20,15.0,30.0
46,Name-calling or personal attacks,Location: Non-US,246,11.8,45.5
46,Name-calling or personal attacks,Location: US,174,16.1,57.5
46,Name-calling or personal attacks,Work role: Employee only,150,10.0,46.7
46,Name-calling or personal attacks,Work role: Owner/Exec,120,20.8,54.2
46,Name-calling or personal attacks,Work role: Freelancer only,79,12.7,46.8
46,Name-calling or personal attacks,Work role: Employee+Freelance,40,2.5,57.5
